"","filename","sti","ai","pi","si","nrbs"
"1","toy_example_1.RDa",1,1,1,1,6.88690744309433
"2","toy_example_1.RDa",1,1,1,2,6.88273770330821
"3","toy_example_1.RDa",1,1,1,3,6.89233143182122
"4","toy_example_1.RDa",1,1,1,4,6.89487590638824
"5","toy_example_1.RDa",1,1,1,5,6.88583302757274
"6","toy_example_1.RDa",1,1,1,6,6.89088023365936
"7","toy_example_1.RDa",1,1,1,7,6.89224987197941
"8","toy_example_1.RDa",1,1,1,8,6.88701926403527
"9","toy_example_1.RDa",1,1,1,9,6.88609359024632
"10","toy_example_1.RDa",1,1,1,10,6.88381696187997
"11","toy_example_1.RDa",2,1,1,1,6.92376399318914
"12","toy_example_1.RDa",2,1,1,2,6.89573340405991
"13","toy_example_1.RDa",2,1,1,3,6.8956116560983
"14","toy_example_1.RDa",2,1,1,4,6.89990442530685
"15","toy_example_1.RDa",2,1,1,5,6.89758399551781
"16","toy_example_1.RDa",2,1,1,6,6.8973525628054
"17","toy_example_1.RDa",2,1,1,7,6.9021242422407
"18","toy_example_1.RDa",2,1,1,8,6.90685977852196
"19","toy_example_1.RDa",2,1,1,9,6.90472646359735
"20","toy_example_1.RDa",2,1,1,10,6.90300280913088
"21","toy_example_2.RDa",1,1,1,1,7.34477836712478
"22","toy_example_2.RDa",1,1,1,2,7.34336336082541
"23","toy_example_2.RDa",1,1,1,3,7.35733052062219
"24","toy_example_2.RDa",1,1,1,4,7.35914352198236
"25","toy_example_2.RDa",1,1,1,5,7.35554126927345
"26","toy_example_2.RDa",1,1,1,6,7.36905195225311
"27","toy_example_2.RDa",1,1,1,7,7.35726094919676
"28","toy_example_2.RDa",1,1,1,8,7.35887910227566
"29","toy_example_2.RDa",1,1,1,9,7.35844126713599
"30","toy_example_2.RDa",1,1,1,10,7.36067609220842
"31","toy_example_2.RDa",2,1,1,1,7.35118139336967
"32","toy_example_2.RDa",2,1,1,2,7.35368219423158
"33","toy_example_2.RDa",2,1,1,3,7.34788396430802
"34","toy_example_2.RDa",2,1,1,4,7.35687889281787
"35","toy_example_2.RDa",2,1,1,5,7.35099842300925
"36","toy_example_2.RDa",2,1,1,6,7.35451106421297
"37","toy_example_2.RDa",2,1,1,7,7.34811177374916
"38","toy_example_2.RDa",2,1,1,8,7.3662542105537
"39","toy_example_2.RDa",2,1,1,9,7.34995607135751
"40","toy_example_2.RDa",2,1,1,10,7.34675335068144
"41","toy_example_3.RDa",1,1,1,1,7.33738940916009
"42","toy_example_3.RDa",1,1,1,2,7.33357494926748
"43","toy_example_3.RDa",1,1,1,3,7.35224389347478
"44","toy_example_3.RDa",1,1,1,4,7.34766022216728
"45","toy_example_3.RDa",1,1,1,5,7.3422715506115
"46","toy_example_3.RDa",1,1,1,6,7.34266698577995
"47","toy_example_3.RDa",1,1,1,7,7.34206200329351
"48","toy_example_3.RDa",1,1,1,8,7.34821502736271
"49","toy_example_3.RDa",1,1,1,9,7.32220553725498
"50","toy_example_3.RDa",1,1,1,10,7.34815578454614
"51","toy_example_3.RDa",1,1,2,1,7.3405583620213
"52","toy_example_3.RDa",1,1,2,2,7.34050256430997
