"","filename","n_alignments_ok","n_alignments_zeroes","n_alignments_na"
"1","article_0_0_0_0_0_100.RDa",4,0,0
"2","article_0_0_0_0_0_101.RDa",4,0,0
"3","article_0_0_0_0_0_102.RDa",4,0,0
"4","article_0_0_0_0_0_103.RDa",4,0,0
"5","article_0_0_0_0_0_104.RDa",4,0,0
"6","article_0_0_0_0_0_105.RDa",4,0,0
"7","article_0_0_0_0_0_106.RDa",4,0,0
"8","article_0_0_0_0_0_107.RDa",4,0,0
"9","article_0_0_0_0_0_108.RDa",4,0,0
"10","article_0_0_0_0_0_109.RDa",4,0,0
"11","article_0_0_0_0_0_110.RDa",4,0,0
"12","article_0_0_0_0_0_111.RDa",4,0,0
"13","article_0_0_0_0_0_112.RDa",4,0,0
"14","article_0_0_0_0_0_113.RDa",4,0,0
"15","article_0_0_0_0_0_114.RDa",4,0,0
"16","article_0_0_0_0_0_115.RDa",4,0,0
"17","article_0_0_0_0_0_116.RDa",4,0,0
"18","article_0_0_0_0_0_117.RDa",4,0,0
"19","article_0_0_0_0_0_118.RDa",4,0,0
"20","article_0_0_0_0_0_119.RDa",4,0,0
"21","article_0_0_0_0_1_120.RDa",4,0,0
"22","article_0_0_0_0_1_121.RDa",4,0,0
"23","article_0_0_0_0_1_122.RDa",4,0,0
"24","article_0_0_0_0_1_123.RDa",4,0,0
"25","article_0_0_0_0_1_124.RDa",4,0,0
"26","article_0_0_0_0_1_125.RDa",4,0,0
"27","article_0_0_0_0_1_126.RDa",4,0,0
"28","article_0_0_0_0_1_127.RDa",4,0,0
"29","article_0_0_0_0_1_128.RDa",4,0,0
"30","article_0_0_0_0_1_129.RDa",4,0,0
"31","article_0_0_0_0_1_130.RDa",4,0,0
"32","article_0_0_0_0_1_131.RDa",4,0,0
"33","article_0_0_0_0_1_132.RDa",4,0,0
"34","article_0_0_0_0_1_133.RDa",4,0,0
"35","article_0_0_0_0_1_134.RDa",4,0,0
"36","article_0_0_0_0_1_135.RDa",4,0,0
"37","article_0_0_0_0_1_136.RDa",4,0,0
"38","article_0_0_0_0_1_137.RDa",4,0,0
"39","article_0_0_0_0_1_138.RDa",4,0,0
"40","article_0_0_0_0_1_139.RDa",4,0,0
"41","article_0_0_1_0_0_140.RDa",4,0,0
"42","article_0_0_1_0_0_141.RDa",4,0,0
"43","article_0_0_1_0_0_142.RDa",4,0,0
"44","article_0_0_1_0_0_143.RDa",4,0,0
"45","article_0_0_1_0_0_144.RDa",4,0,0
"46","article_0_0_1_0_0_145.RDa",4,0,0
"47","article_0_0_1_0_0_146.RDa",4,0,0
"48","article_0_0_1_0_0_147.RDa",4,0,0
"49","article_0_0_1_0_0_148.RDa",4,0,0
"50","article_0_0_1_0_0_149.RDa",4,0,0
"51","article_0_0_1_0_0_150.RDa",4,0,0
